moisture	avg	smoch	horni	spodni	time
0.56554706	0.555538944	0.006033674	0.561572618	0.54950527	4.6714449
0.56523621	0.556087103	0.004994491	0.561081594	0.551092612	4.70879275
0.565263881	0.554766826	0.005876421	0.560643247	0.548890404	4.746174
0.564911526	0.554982996	0.005281149	0.560264145	0.549701848	4.783559033
0.564656018	0.556612121	0.004874459	0.56148658	0.551737662	4.820834233
0.564379708	0.55809461	0.004366335	0.562460945	0.553728275	4.858301183
0.565291453	0.556071638	0.005212503	0.561284142	0.550859135	4.895633583
0.567888831	0.554527402	0.006253529	0.560780931	0.548273873	4.932948017
0.56529842	0.556249315	0.004970045	0.56121936	0.55127927	4.970315467
0.565063516	0.556079426	0.004937901	0.561017327	0.551141526	5.007618433
0.565892448	0.556488627	0.004774455	0.561263081	0.551714172	5.04502905
0.565028978	0.557839833	0.003873665	0.561713498	0.553966169	5.082275567
0.56569905	0.557963328	0.004008112	0.56197144	0.553955216	5.119536717
0.56567138	0.557415168	0.004279164	0.561694333	0.553136004	5.1569261
0.565381333	0.557253068	0.004640849	0.561893918	0.552612219	5.19417845
0.56458694	0.555214632	0.005248762	0.560463394	0.54996587	5.231435667
0.564552402	0.555508015	0.005572378	0.561080393	0.549935636	5.2687487
0.564856284	0.555708832	0.005070109	0.560778941	0.550638723	5.30610475
0.564911526	0.556002215	0.004978372	0.560980586	0.551023843	5.343364283
0.564421114	0.555554408	0.005295122	0.56084953	0.550259286	5.38074555
0.56437274	0.555338126	0.005466331	0.560804458	0.549871795	5.418125483
0.563958274	0.556025356	0.005181783	0.561207139	0.550843573	5.45538365
0.564365872	0.555423126	0.005128988	0.560552114	0.550294138	5.492740283
0.564870119	0.555415338	0.005140032	0.56055537	0.550275306	5.5302072
0.564642183	0.555469409	0.004943253	0.560412661	0.550526156	5.5675095
0.563695799	0.555361379	0.005133049	0.560494428	0.55022833	5.60481995
0.564144804	0.55617978	0.004598474	0.560778253	0.551581306	5.642121867
0.5649599	0.555407661	0.004962372	0.560370033	0.55044529	5.679388567
0.56508422	0.554651008	0.0054501	0.560101108	0.549200908	5.717489767
0.564490192	0.554612402	0.005082448	0.559694851	0.549529954	5.75481455
0.56542274	0.555878609	0.005029878	0.560908487	0.55084873	5.7921777
0.564725096	0.55478229	0.005325527	0.560107818	0.549456763	5.82947265
0.565125726	0.554720432	0.005408709	0.560129141	0.549311723	5.867079733
0.564130968	0.554813108	0.005320745	0.560133854	0.549492363	5.904332367
0.564027352	0.554542867	0.005687923	0.56023079	0.548854943	5.9415757
0.564690557	0.555121955	0.005600863	0.560722818	0.549521093	5.978920483
0.564137936	0.555847791	0.004719359	0.56056715	0.551128432	6.016216033
0.563875361	0.553176196	0.005863846	0.559040042	0.547312349	6.05357105
0.563965242	0.552481289	0.006190052	0.558671342	0.546291237	6.091080383
0.564421114	0.551423465	0.006338682	0.557762147	0.545084783	6.12844875
0.562479973	0.551631959	0.006000164	0.557632124	0.545631795	6.165767733
0.56403432	0.552797925	0.006399526	0.55919745	0.546398399	6.20300755
0.564801041	0.554164485	0.005951625	0.56011611	0.548212859	6.240304983
