avg	smoch	horni	spodni	time
59.94877099	7.512096181	67.46086717	52.43667481	5.867079733
60.20941758	7.543567686	67.75298526	52.66584989	5.904332367
60.39780684	7.58853464	67.98634148	52.8092722	5.9415757
60.63006679	7.557417028	68.18748382	53.07264976	5.978920483
60.96039081	7.604073248	68.56446406	53.35631757	6.016216033
61.14361794	7.69621631	68.83983425	53.44740163	6.05357105
61.44555611	7.579709324	69.02526544	53.86584679	6.091080383
61.69846068	7.593667917	69.29212859	54.10479276	6.12844875
62.04685021	7.543709773	69.59055998	54.50314044	6.165767733
62.2971741	7.568043877	69.86521798	54.72913022	6.20300755
62.47265842	7.583742995	70.05640141	54.88891542	6.240304983
62.66104611	7.628131168	70.28917727	55.03291494	6.277606917
63.07395251	7.64369962	70.71765213	55.43025289	6.314835633
63.32943696	7.623849331	70.95328629	55.70558763	6.35221725
63.53589017	7.700446151	71.23633632	55.83544401	6.389487117
63.75524753	7.6839027	71.43915023	56.07134483	6.426855083
64.02879828	7.660563295	71.68936157	56.36823498	6.46413785
64.27912059	7.600165912	71.8792865	56.67895468	6.50140325
64.50622077	7.693559311	72.19978008	56.81266145	6.5388053
64.70493037	7.691988568	72.39691894	57.0129418	6.576159983
64.98364247	7.676342666	72.65998513	57.3072998	6.613560133
65.22106298	7.696589681	72.91765266	57.5244733	6.651106983
65.42493394	7.666060042	73.09099398	57.75887389	6.688550867
65.67783929	7.704294221	73.38213351	57.97354506	6.725829217
65.89977654	7.576937111	73.47671365	58.32283943	6.76312385
66.09332715	7.60638777	73.69971492	58.48693938	6.800457583
66.42365117	7.597275404	74.02092658	58.82637577	6.837903717
66.57333032	7.681166545	74.25449686	58.89216377	6.875182767
66.75139531	7.615672768	74.36706807	59.13572254	6.912540983
66.98107458	7.632448315	74.6135229	59.34862627	6.94985575
67.20559094	7.643365765	74.8489567	59.56222517	6.987239617
67.4584955	7.616976024	75.07547152	59.84151948	7.024561417
67.59527205	7.60922764	75.20449969	59.98604441	7.061929167
67.80430593	7.56898253	75.37328846	60.2353234	7.09922085
68.08817781	7.556212307	75.64439011	60.5319655	7.136546383
68.24301908	7.590193563	75.83321265	60.65282552	7.173844417
68.50882466	7.618762954	76.12758761	60.89006171	7.211164317
68.62753728	7.574191713	76.20172899	61.05334556	7.2485332
68.87011835	7.578315768	76.44843412	61.29180259	7.285805283
69.06108751	7.531806107	76.59289361	61.5292814	7.32309745
69.19270193	7.566758981	76.75946091	61.62594294	7.360366033
69.43012323	7.496764453	76.92688768	61.93335877	7.397716433
69.60818822	7.547566859	77.15575508	62.06062136	7.435084533
69.84818941	7.580202697	77.4283921	62.26798671	7.472752933
69.96689966	7.482539661	77.44943932	62.48436	7.510125067
70.09851408	7.4974894	77.59600348	62.60102468	7.547415217
70.40302978	7.524758532	77.92778831	62.87827125	7.584695767
70.51658026	7.46483028	77.98141054	63.05174998	7.622049117
70.71013009	7.42958212	78.13971221	63.28054797	7.6594717
70.9140034	7.383032559	78.29703596	63.53097084	7.696921117
71.05593895	7.42089732	78.47683627	63.63504163	7.734199333
